1556891443.000000, 1556891443.000000, 1556891443.000000
32.000000, 32.000000, 32.000000
-17,-42,37
-18,-40,39
-18,-42,38
-46,-63,24
4,-37,40
-29,-57,19
-36,-63,21
3,-44,46
-10,-47,45
-13,-49,34
-13,-46,38
-10,-51,36
-13,-55,35
-21,-57,17
8,-69,39
-7,-50,29
-4,-60,21
-21,-51,5
-3,-43,32
-6,-46,37
-11,-60,32
-6,-58,32
-2,-54,34
-1,-55,31
5,-56,30
6,-55,29
6,-52,31
1,-56,30
0,-56,31
3,-55,32
1,-56,31
3,-56,30
4,-55,31
4,-60,27
4,-66,24
9,-80,18
30,-76,39
21,-74,31
10,-43,42
5,-43,44
5,-39,45
-6,-27,54
-9,-12,59
9,-9,72
-9,4,66
-4,7,66
8,-5,61
1,6,62
5,8,62
6,1,59
5,6,62
10,7,61
2,9,62
3,10,63
7,5,60
5,13,64
8,7,63
6,5,62
7,10,64
7,10,63
6,5,63
8,11,62
8,6,60
10,9,60
8,6,59
10,4,56
10,12,53
18,15,54
23,4,59
23,-7,50
30,-3,51
40,-20,70
22,-36,57
22,-24,82
-7,-24,58
-12,-19,61
2,-24,61
2,-10,56
5,-8,59
8,-15,70
-2,-4,68
-6,-8,63
-27,-8,44
-42,-10,18
-46,-18,9
-68,-45,-10
-40,-52,-5
-25,-69,1
-8,-82,10
-8,-87,17
-9,-71,30
-25,-56,46
-30,-52,61
-33,-72,68
-35,-34,58
-32,-22,58
-22,-19,57
-16,-15,69
-8,-15,71
-18,-29,58
-26,-25,57
-23,-21,61
-23,-26,52
-19,-26,51
-6,-23,60
-9,-20,66
-18,-22,65
-32,-25,56
-44,-36,41
-47,-41,30
-33,-46,25
-31,-54,23
-35,-56,17
-45,-56,13
-48,-57,12
-43,-52,13
-47,-50,7
-50,-49,8
-47,-48,7
-47,-47,9
-52,-50,9
-50,-47,10
-42,-57,6
-39,-57,9
-37,-56,8
-35,-55,8
-34,-43,14
-36,-38,11
-44,-30,3
-37,-28,12
-40,-19,14
-47,-13,13
-59,8,26
-87,1,11
-52,-1,17
-63,-15,15
-50,-22,30
-40,-19,43
-60,-10,32
-59,-12,23
-56,-14,27
-75,-5,27
-77,-5,26
-81,0,14
-75,7,14
-74,14,20
-61,9,17
-71,21,19
-58,26,26
-62,16,-1
-62,18,-3
-71,39,14
-107,54,-10
-121,63,-5
-89,79,39
-91,64,12
-84,39,-8
-82,52,1
-50,45,10
-41,39,5
-45,35,4
-40,28,6
-24,22,12
-2,27,23
-3,28,22
-21,29,24
-36,33,24
-28,39,42
-45,38,20
-71,36,8
-78,32,7
-10,45,37
-64,56,-18
-34,61,-10
-24,50,4
-31,53,0
-10,48,13
-13,40,18
-26,39,14
-24,33,16
-35,20,25
-56,19,31
-42,30,38
-48,50,36
-50,54,31
-58,52,19
-57,61,7
-40,62,13
4,69,15
-9,71,3
-31,63,-2
-48,54,-35
-63,31,-42
-28,43,-32
-30,31,-41
-76,9,-72
-24,33,3
-56,15,-24
-57,11,-32
-42,14,-13
-96,35,-23
-74,23,-38
-38,25,-27
-32,33,-7
-62,57,-10
-26,65,-26
-43,69,-5
